"","x"
"791","STAMBP"
"792","PCBP2"
"793","BECN1"
"794","USP36"
"795","FGD5.AS1"
"796","EXOC5"
"797","GUF1"
"798","TTLL4"
"799","TP53RK"
"800","SUDS3"
"801","RNF2"
"802","UBE4A"
"803","SETD2"
"804","GPATCH8"
"805","COX19"
"806","MAD2L1"
"807","CNOT10"
"808","RCL1"
"809","AP5M1"
"810","GON4L"
"811","ERLIN1"
"812","NOC3L"
"813","GNL1"
"814","GATC"
"815","POLR3K"
"816","CPSF2"
"817","RFC4"
"818","RPE"
"819","POLR2D"
"820","ELF2"
"821","SECISBP2"
"822","TOPBP1"
"823","USP24"
"824","COPS2"
"825","ASCC2"
"826","MRPL30"
"827","RPS3A"
"828","MGA"
"829","ARFGAP2"
"830","NARS2"
"831","MMS22L"
"832","TRNAU1AP"
"833","UTP20"
"834","ZSWIM7"
"835","RBM27"
"836","ARFGEF2"
"837","FAF2"
"838","OFD1"
"839","FRG1B"
"840","DHX33"
"841","ALG13"
"842","SP3"
"843","TYW1"
"844","ADPGK"
"845","RAD51AP1"
"846","KIN"
"847","URB1"
"848","CWF19L1"
"849","PINX1"
"850","AURKA"
"851","LSM10"
"852","SKIV2L2"
"853","DDX42"
"854","DPH2"
"855","PHIP"
"856","AAR2"
"857","ILKAP"
"858","WDR75"
"859","CDCA2"
"860","CBL"
"861","STRBP"
"862","CSTF3"
"863","VMP1"
"864","UBE4B"
"865","CLASP1"
"866","ITGAE"
"867","ZNF43"
"868","SCAF4"
"869","OPA1"
"870","VPS72"
"871","MED8"
"872","QRICH1"
"873","ZDHHC3"
"874","PRR14L"
"875","COA1"
"876","GTPBP10"
"877","MED1"
"878","ZNF518A"
"879","POLR1A"
"880","NSL1"
"881","MRRF"
"882","VTI1A"
"883","NOC2L"
"884","COL4A3BP"
"885","VAMP3"
"886","CAAP1"
"887","ZNF271"
"888","UBR2"
"889","ZMYM2"
"890","KRI1"
"891","PCF11"
"892","PPM1A"
"893","CDK5RAP1"
"894","TOE1"
"895","NCAPH"
"896","FUBP3"
"897","TRAPPC8"
"898","ACAP2"
"899","CWC22"
"900","UTP23"
"901","TEX10"
"902","PDPK1"
"903","DHX38"
"904","DIAPH3"
"905","ZNF850"
"906","HAUS6"
"907","HDHD3"
"908","GINS4"
"909","MTMR9"
"910","NSUN4"
"911","MED29"
"912","SENP6"
"913","TWF1"
"914","RBM23"
"915","RPAP3"
"916","UBAP1"
"917","GTSE1"
"918","ARHGAP21"
"919","CYTH2"
"920","DNAJC10"
"921","TMEM69"
"922","SLC4A1AP"
"923","CCAR2"
"924","MAGOH2"
"925","REV3L"
"926","EMC7"
"927","TM9SF2"
"928","ABCF3"
"929","ZNF468"
"930","MAT2B"
"931","RNF38"
"932","MIS18BP1"
"933","PIGY.PYURF"
"934","CCDC93"
"935","MTO1"
"936","SH3GLB1"
"937","GBF1"
"938","ZMPSTE24"
"939","MIER1"
"940","BUB1"
"941","PSMD10"
"942","ATMIN"
"943","DUSP11"
"944","EAPP"
"945","WDR3"
"946","USP37"
"947","ZCCHC8"
"948","TRIML2"
"949","ARMC8"
"950","ITGB3BP"
"951","YIPF5"
"952","FANCI"
"953","NUF2"
"954","DDX41"
"955","ACOT13"
"956","ZNF320"
"957","CAMLG"
"958","NUP133"
"959","MCMBP"
"960","BLOC1S6"
"961","RALGAPB"
"962","CWC27"
"963","TMEM87A"
"964","TSG101"
"965","PATL1"
"966","NUP155"
"967","OXSR1"
"968","LAP3"
"969","MTOR"
"970","PHF20"
"971","SYPL1"
"972","ARID2"
"973","ERGIC2"
"974","SRFBP1"
"975","RSBN1"
"976","TMEM126A"
"977","MLX"
"978","LOC728554"
"979","POLR3A"
"980","TSNAX"
"981","PPP2R2A"
"982","FBXO28"
"983","ARL16"
"984","ATP2C1"
"985","SHCBP1"
"986","NDRG3"
"987","PCID2"
"988","STYX"
"989","DNAJB12"
"990","EPS15"
"991","SKA1"
"992","C4ORF46"
"993","FAM210A"
"994","MAP3K7"
"995","TMEM9"
"996","RNGTT"
"997","ANKRD40"
"998","TOLLIP"
"999","G2E3"
"1000","NANS"
"1001","RPRD1B"
"1002","EBAG9"
"1003","ADIPOR2"
"1004","NSMCE2"
"1005","PPP2CB"
"1006","VKORC1L1"
"1007","GOLGA5"
"1008","ATAD1"
"1009","ANGEL2"
"1010","SPECC1"
"1011","LEO1"
"1012","FIBP"
"1013","STX18"
"1014","SUV39H2"
"1015","METTL13"
"1016","CREB1"
"1017","NELFA"
"1018","COA5"
"1019","ZNF286A"
"1020","RPP21"
"1021","POP1"
"1022","RNF8"
"1023","RNF111"
"1024","DIAPH1"
"1025","PRKRA"
"1026","PWP2"
"1027","RNF216"
"1028","TMEM242"
"1029","POLE"
"1030","SAR1B"
"1031","ATAD5"
"1032","ZBTB43"
"1033","NECAP2"
"1034","SLC35E1"
"1035","ANKFY1"
"1036","ZCCHC9"
"1037","ISG20L2"
"1038","ARHGEF7"
"1039","SEC24C"
"1040","SNX1"
"1041","PDE12"
"1042","AUNIP"
"1043","MARCH5"
"1044","TDP2"
"1045","NGLY1"
"1046","PARPBP"
"1047","NDUFAF7"
"1048","ZC3HC1"
"1049","DIEXF"
"1050","KRIT1"
"1051","NUPL1"
"1052","WDR73"
"1053","PTPN1"
"1054","EDC3"
"1055","LRRFIP2"
"1056","RPUSD4"
"1057","ELP3"
"1058","HAUS8"
"1059","INTS4"
"1060","NME6"
"1061","CHD6"
"1062","INIP"
"1063","MMS19"
"1064","MBD1"
"1065","NDUFAF1"
"1066","UXS1"
"1067","POLR3F"
"1068","ZFYVE20"
"1069","SLC39A9"
"1070","C5ORF22"
"1071","NCAPD3"
"1072","DSCC1"
"1073","FAM135A"
"1074","ESYT2"
"1075","PRRC1"
"1076","RMDN3"
